,seconds,date,hr,diff
0,79.952,[2023-09-09 20:19:12 914],80.0,
1,80.452,[2023-09-09 20:19:13 414],80.0,0.5
2,80.952,[2023-09-09 20:19:13 914],80.0,0.5
3,81.452,[2023-09-09 20:19:14 414],81.0,0.5
4,81.952,[2023-09-09 20:19:14 914],81.0,0.5
5,82.452,[2023-09-09 20:19:15 414],82.0,0.5
6,82.952,[2023-09-09 20:19:15 914],82.0,0.5
7,83.452,[2023-09-09 20:19:16 414],83.0,0.5
8,83.952,[2023-09-09 20:19:16 914],83.0,0.5
9,84.452,[2023-09-09 20:19:17 414],84.0,0.5
10,84.952,[2023-09-09 20:19:17 914],84.0,0.5
11,85.452,[2023-09-09 20:19:18 414],85.0,0.5
12,85.952,[2023-09-09 20:19:18 914],86.0,0.5
13,86.452,[2023-09-09 20:19:19 414],88.0,0.5
14,86.952,[2023-09-09 20:19:19 914],89.0,0.5
15,87.452,[2023-09-09 20:19:20 414],90.0,0.5
16,87.952,[2023-09-09 20:19:20 914],90.0,0.5
17,88.452,[2023-09-09 20:19:21 414],91.0,0.5
18,88.952,[2023-09-09 20:19:21 914],91.0,0.5
19,89.452,[2023-09-09 20:19:22 414],92.0,0.5
20,89.952,[2023-09-09 20:19:22 914],92.0,0.5
21,90.452,[2023-09-09 20:19:23 414],92.0,0.5
22,90.952,[2023-09-09 20:19:23 914],91.0,0.5
23,91.452,[2023-09-09 20:19:24 414],91.0,0.5
24,91.952,[2023-09-09 20:19:24 914],92.0,0.5
25,92.452,[2023-09-09 20:19:25 414],92.0,0.5
26,92.952,[2023-09-09 20:19:25 914],92.0,0.5
27,93.452,[2023-09-09 20:19:26 414],93.0,0.5
28,93.952,[2023-09-09 20:19:26 914],94.0,0.5
29,94.452,[2023-09-09 20:19:27 414],96.0,0.5
30,94.952,[2023-09-09 20:19:27 914],96.0,0.5
31,95.452,[2023-09-09 20:19:28 414],97.0,0.5
32,95.952,[2023-09-09 20:19:28 914],98.0,0.5
33,96.452,[2023-09-09 20:19:29 414],97.0,0.5
34,96.952,[2023-09-09 20:19:29 914],97.0,0.5
35,97.452,[2023-09-09 20:19:30 414],96.0,0.5
36,97.952,[2023-09-09 20:19:30 914],95.0,0.5
37,98.452,[2023-09-09 20:19:31 414],94.0,0.5
