,seconds,date,hr,activity_load_2d,activity_load_3d
0,2527.565,[2023-09-09 21:00:00 527],141.0,0.0076,0.0102
1,2528.565,[2023-09-09 21:00:01 527],140.0,0.0089,0.0113
2,2529.565,[2023-09-09 21:00:02 527],139.0,0.0197,0.0273
3,2530.566,[2023-09-09 21:00:03 528],139.0,0.0128,0.017
4,2531.566,[2023-09-09 21:00:04 528],138.0,0.0081,0.0105
5,2532.565,[2023-09-09 21:00:05 527],137.0,0.0142,0.018
6,2533.564,[2023-09-09 21:00:06 526],137.0,0.0186,0.025
7,2534.564,[2023-09-09 21:00:07 526],135.0,0.0119,0.0176
8,2535.565,[2023-09-09 21:00:08 527],131.0,0.018,0.0257
9,2536.547,[2023-09-09 21:00:09 509],126.0,0.0065,0.01
10,2537.562,[2023-09-09 21:00:10 524],124.0,0.0059,0.0089
11,2538.564,[2023-09-09 21:00:11 526],122.0,0.0102,0.0147
12,2539.565,[2023-09-09 21:00:12 527],119.0,0.0086,0.0109
13,2540.565,[2023-09-09 21:00:13 527],116.0,0.0174,0.0241
14,2541.565,[2023-09-09 21:00:14 527],115.0,0.0081,0.0106
15,2542.565,[2023-09-09 21:00:15 527],116.0,0.0115,0.016
16,2543.567,[2023-09-09 21:00:16 529],117.0,0.012,0.0202
17,2544.566,[2023-09-09 21:00:17 528],118.0,0.0118,0.0149
18,2545.565,[2023-09-09 21:00:18 527],118.0,0.006,0.0074
19,2546.547,[2023-09-09 21:00:19 509],118.0,0.0178,0.0253
20,2547.565,[2023-09-09 21:00:20 527],119.0,0.0092,0.0123
21,2548.565,[2023-09-09 21:00:21 527],118.0,0.0107,0.0132
22,2549.564,[2023-09-09 21:00:22 526],118.0,0.016,0.0266
23,2550.566,[2023-09-09 21:00:23 528],118.0,0.0077,0.0103
24,2551.566,[2023-09-09 21:00:24 528],119.0,0.0059,0.0073
25,2552.564,[2023-09-09 21:00:25 526],117.0,0.0097,0.0118
26,2553.566,[2023-09-09 21:00:26 528],116.0,0.0051,0.0064
27,2554.566,[2023-09-09 21:00:27 528],116.0,0.0039,0.0048
28,2555.566,[2023-09-09 21:00:28 528],116.0,0.0051,0.0064
29,2556.549,[2023-09-09 21:00:29 511],115.0,0.0061,0.0071
30,2557.562,[2023-09-09 21:00:30 524],114.0,0.0061,0.0071
31,2558.565,[2023-09-09 21:00:31 527],114.0,0.0044,0.0051
32,2559.566,[2023-09-09 21:00:32 528],115.0,0.0057,0.0074
33,2560.566,[2023-09-09 21:00:33 528],116.0,0.0046,0.006
34,2561.566,[2023-09-09 21:00:34 528],115.0,0.0076,0.009
35,2562.564,[2023-09-09 21:00:35 526],114.0,0.0045,0.006
36,2563.567,[2023-09-09 21:00:36 529],112.0,0.0034,0.0046
37,2564.568,[2023-09-09 21:00:37 530],111.0,0.005,0.0063
38,2565.568,[2023-09-09 21:00:38 530],109.0,0.009,0.0116
39,2566.55,[2023-09-09 21:00:39 512],109.0,0.0107,0.0152
40,2567.568,[2023-09-09 21:00:40 530],109.0,0.0072,0.0093
41,2568.568,[2023-09-09 21:00:41 530],109.0,0.0115,0.0155
42,2569.57,[2023-09-09 21:00:42 532],109.0,0.0163,0.0219
43,2570.568,[2023-09-09 21:00:43 530],109.0,0.0126,0.0199
44,2571.569,[2023-09-09 21:00:44 531],110.0,0.0087,0.0118
45,2572.565,[2023-09-09 21:00:45 527],111.0,0.0121,0.0182
46,2573.565,[2023-09-09 21:00:46 527],112.0,0.009,0.0121
47,2574.566,[2023-09-09 21:00:47 528],112.0,0.0103,0.0145
48,2575.566,[2023-09-09 21:00:48 528],113.0,0.0127,0.0203
49,2576.548,[2023-09-09 21:00:49 510],114.0,0.0111,0.0151
50,2577.568,[2023-09-09 21:00:50 530],113.0,0.0078,0.0094
51,2578.568,[2023-09-09 21:00:51 530],112.0,0.0102,0.0153
52,2579.564,[2023-09-09 21:00:52 526],112.0,0.0076,0.0095
53,2580.57,[2023-09-09 21:00:53 532],111.0,0.0096,0.0113
54,2581.569,[2023-09-09 21:00:54 531],109.0,0.0087,0.0104
55,2582.57,[2023-09-09 21:00:55 532],106.0,0.0093,0.0115
56,2583.57,[2023-09-09 21:00:56 532],104.0,0.0035,0.0043
57,2584.569,[2023-09-09 21:00:57 531],104.0,0.0061,0.0078
58,2585.569,[2023-09-09 21:00:58 531],105.0,0.0111,0.0134
59,2586.55,[2023-09-09 21:00:59 512],104.0,0.005,0.0061
60,2587.567,[2023-09-09 21:01:00 529],104.0,0.0081,0.0097
61,2588.569,[2023-09-09 21:01:01 531],104.0,0.0056,0.0071
62,2589.569,[2023-09-09 21:01:02 531],105.0,0.0047,0.0055
63,2590.57,[2023-09-09 21:01:03 532],108.0,0.0036,0.0045
